frame_idx,ts_ms,pose_detected,left_hip_x,left_hip_y,left_ankle_x,left_ankle_y,left_conf,right_hip_x,right_hip_y,right_ankle_x,right_ankle_y,right_conf,raw_readings_n,filter_readings_n,extrap_sides,skip_seglen,skip_flip,antisnap_sides,nms_fired,nms_removed_side,nms_ankle_dist_px,ankles_same_pos,identity_swap
76,1476,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,right,,,,0,,0.0,0,0
77,1496,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,right,,,,0,,0.0,0,0
78,1515,1,487,828,547,1053,0.2861,432,811,264,836,0.2572,2,2,,,,,0,,0.0,0,0
79,1535,1,486,791,510,1053,0.3321,437,775,271,838,0.2573,2,2,,,,,0,,0.0,0,0
80,1554,1,487,752,500,1037,0.3356,439,735,272,837,0.2478,2,2,,,,,0,,0.0,0,0
81,1574,1,486,746,482,1024,0.3395,439,735,306,911,0.2341,2,2,,,,,0,,0.0,0,0
82,1593,1,477,762,469,1028,0.3454,432,748,297,884,0.2286,2,2,,,,,0,,0.0,0,0
83,1612,1,448,740,287,890,0.3268,444,745,303,906,0.2155,2,2,left,,,left,0,,0.0,1,1
84,1632,1,453,758,411,944,0.2975,431,751,297,907,0.1963,2,2,,,,,0,,0.0,0,0
85,1651,1,458,761,441,975,0.3236,424,741,294,905,0.232,2,2,,,,,0,,0.0,0,0
86,1671,1,456,768,373,985,0.3284,413,747,294,929,0.2414,2,2,,,,,0,,0.0,0,0
87,1690,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,"left,right",,,,0,,0.0,0,0
88,1710,1,479,687,368,954,0.3056,423,667,323,914,0.2291,2,2,right,,,,1,right,60.2,0,0
89,1729,1,468,752,520,1008,0.309,438,769,438,1008,0.2197,2,2,right,,,,1,right,82.0,0,0
90,1748,1,469,766,615,1001,0.3202,436,778,393,999,0.2363,2,2,,,,,0,,0.0,0,0
91,1768,1,470,785,512,1071,0.3372,456,792,442,1059,0.254,2,2,right,,,,1,right,71.0,0,0
92,1787,1,471,831,477,1107,0.3179,472,834,504,1107,0.2463,2,2,right,,,,1,right,27.0,1,1
93,1807,1,481,855,532,1107,0.2995,463,859,483,1093,0.2271,2,2,right,,,,1,right,51.0,0,0
94,1826,1,503,871,568,1115,0.303,465,869,484,1113,0.242,2,2,right,,,,1,right,84.0,0,0
95,1846,1,499,843,524,1103,0.281,464,842,449,1078,0.221,2,2,right,,,,1,right,79.1,0,0
96,1865,1,496,840,501,1101,0.2601,466,841,447,1088,0.2035,2,2,right,,,,1,right,55.5,0,0
97,1884,1,487,820,491,1080,0.2704,460,820,436,1060,0.2003,2,2,right,,,,1,right,58.5,0,0
98,1904,1,486,810,501,1069,0.2505,459,809,435,1048,0.1834,2,2,right,,,,1,right,69.3,0,0
99,1923,1,481,808,494,1065,0.2665,452,813,430,1057,0.2031,2,2,right,,,,1,right,64.5,0,0
100,1943,1,459,805,418,1049,0.2403,440,807,400,1039,0.183,2,2,right,,,,1,right,20.6,1,0
101,1962,1,455,810,423,1070,0.225,441,819,400,1046,0.1666,2,2,right,,,,1,right,33.2,1,0
102,1982,1,454,797,396,1056,0.2192,452,818,424,1046,0.1562,2,2,right,,,,1,right,29.7,1,1
103,2001,1,457,807,539,1056,0.2698,444,815,422,1048,0.2279,2,2,,,,,0,,0.0,0,1
104,2020,1,464,814,592,991,0.2901,425,815,388,1048,0.2634,2,2,,,,,0,,0.0,0,0
105,2040,1,465,763,355,984,0.279,425,747,264,950,0.2659,2,2,left,,,left,0,,0.0,0,0
106,2059,1,436,761,367,993,0.2642,441,761,405,981,0.2429,2,2,left,,,left,0,,0.0,1,1
107,2079,1,438,747,565,898,0.2388,424,753,313,920,0.2188,2,2,,,,,0,,0.0,0,0
108,2098,1,434,752,357,916,0.221,426,759,341,934,0.1981,2,2,left,,,left,0,,0.0,1,0
109,2118,1,438,755,284,902,0.2598,426,759,267,888,0.2003,2,2,left,,,left,0,,0.0,1,1
110,2137,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,"left,right",,,,0,,0.0,0,0
111,2156,1,506,762,587,964,0.3119,462,749,328,904,0.2336,2,2,,,,,0,,0.0,0,0
112,2176,1,506,743,697,860,0.3755,454,739,274,885,0.3084,2,2,,,,,0,,0.0,0,0
113,2195,1,505,745,711,834,0.4165,453,739,262,829,0.3336,2,2,,,,,0,,0.0,0,0
114,2215,1,472,747,563,880,0.4201,-1,-1,-1,-1,-1,1,2,right,right,,,0,,0.0,0,0
115,2234,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,"left,right","left,right",,,0,,0.0,0,0
116,2254,1,475,714,642,840,0.4254,464,729,315,844,0.2681,2,2,,,,,0,,0.0,0,0
117,2273,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,"left,right",,,,0,,0.0,0,0
118,2292,1,417,780,703,827,0.4624,414,813,667,822,0.2617,2,2,right,,,right,0,,0.0,1,0
119,2312,1,408,794,699,832,0.4286,403,810,668,830,0.2388,2,2,right,,,right,0,,0.0,1,0
120,2331,1,394,815,698,836,0.4553,387,819,676,835,0.2226,2,2,right,,,right,0,,0.0,1,0
121,2351,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,"left,right",,,,0,,0.0,0,0
122,2370,1,496,785,695,861,0.4156,482,758,688,854,0.2201,2,2,right,,,right,0,,0.0,1,0
123,2390,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,left,,,,0,,0.0,0,0
124,2409,1,454,874,554,1134,0.4589,492,877,514,1151,0.2946,2,1,left,,,"left,right",0,,0.0,1,0
125,2428,1,449,842,487,1100,0.5016,492,832,591,1047,0.3583,2,1,left,,,"left,right",0,,0.0,0,1
126,2448,1,461,848,502,1056,0.5481,468,840,380,974,0.4224,2,2,left,,,left,0,,0.0,0,0
127,2467,1,461,828,514,1027,0.5473,433,822,376,1027,0.4611,2,2,left,,,left,0,,0.0,0,0
128,2487,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,"left,right",,,,0,,0.0,0,0
129,2506,1,492,891,579,1131,0.5679,448,876,298,919,0.4506,2,1,,,,left,0,,0.0,0,0
130,2525,1,480,892,544,1150,0.5613,437,888,429,1085,0.4179,2,1,right,,,"left,right",0,,0.0,0,0
131,2545,1,485,859,539,1135,0.5982,437,842,319,913,0.4477,2,1,,,,left,0,,0.0,0,0
132,2564,1,488,848,543,1109,0.6215,437,825,292,853,0.4329,2,1,,,,left,0,,0.0,0,0
133,2584,1,488,827,540,1103,0.6254,437,814,294,861,0.4241,2,1,,,,left,0,,0.0,0,0
134,2603,1,487,807,459,1066,0.6289,437,801,290,903,0.4362,2,1,,,,left,0,,0.0,0,0
135,2623,1,483,765,433,1035,0.5714,433,762,305,971,0.4036,2,1,,,,left,0,,0.0,0,0
136,2642,1,464,768,413,1054,0.5349,424,765,307,1003,0.3947,2,1,,,,left,0,,0.0,0,0
137,2661,1,450,779,320,944,0.4931,426,776,317,958,0.3752,2,1,,,,left,0,,0.0,1,0
138,2681,1,437,780,342,972,0.4604,437,782,336,955,0.3545,2,1,,,,left,0,,0.0,1,0
139,2700,1,445,777,388,1014,0.4212,460,787,386,1002,0.3201,2,1,,,,left,0,,0.0,1,0
140,2720,1,448,777,565,983,0.3914,436,791,382,995,0.3056,2,1,,,,left,0,,0.0,0,0
141,2739,1,463,807,521,1051,0.3717,436,816,403,1062,0.29,2,1,,,,left,0,,0.0,0,0
142,2759,1,474,824,506,1055,0.3725,437,828,428,1059,0.2998,2,1,,,,left,0,,0.0,0,0
143,2778,1,487,836,558,1089,0.358,447,840,437,1086,0.2866,2,1,,,,left,0,,0.0,0,0
144,2797,1,491,850,541,1112,0.3439,450,854,493,1106,0.2802,2,1,,,,left,0,,0.0,0,0
145,2817,1,489,854,534,1110,0.3249,451,866,468,1092,0.26,2,1,,,,left,0,,0.0,0,0
146,2836,1,490,870,536,1117,0.301,458,880,463,1089,0.244,2,1,,,,left,0,,0.0,0,0
147,2856,1,486,835,456,1109,0.2794,461,845,443,1075,0.2215,2,1,,,,left,0,,0.0,1,1
148,2875,1,486,835,469,1108,0.2831,463,842,455,1065,0.2154,2,1,,,,left,0,,0.0,1,0
149,2895,1,486,836,444,1101,0.2834,448,840,437,1062,0.2225,2,1,,,,left,0,,0.0,1,1
150,2914,1,485,836,481,1098,0.2622,435,839,429,1077,0.2112,2,1,,,,left,0,,0.0,0,0
151,2933,1,482,844,484,1102,0.2618,427,850,424,1074,0.2225,2,1,,,,left,0,,0.0,0,0
152,2953,1,481,856,491,1112,0.2717,422,862,413,1085,0.252,2,1,,,,left,0,,0.0,0,0
153,2972,1,480,854,522,1119,0.3004,465,859,447,1101,0.3123,2,1,,,,left,0,,0.0,0,0
154,2992,1,456,852,340,1009,0.3329,477,856,567,1102,0.3797,2,1,,,,left,0,,0.0,0,1
155,3011,1,435,837,290,957,0.3094,471,832,523,1067,0.3857,2,1,,,,left,0,,0.0,0,0
156,3031,1,430,833,269,984,0.3068,467,832,498,1063,0.3608,2,1,,,,left,0,,0.0,0,0
157,3050,1,430,810,259,974,0.2907,457,812,408,970,0.327,2,1,,,,left,0,,0.0,0,1
158,3069,1,447,815,386,1035,0.2691,429,804,248,949,0.2993,2,1,,,,left,0,,0.0,0,0
159,3089,1,445,815,249,963,0.2453,414,792,213,915,0.2725,2,1,,,,left,0,,0.0,0,1
160,3108,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,right,,,,0,,0.0,0,0
161,3128,1,522,802,716,831,0.2916,490,812,562,938,0.3424,2,2,right,,,right,0,,0.0,0,0
162,3147,1,517,786,645,900,0.3222,486,776,534,936,0.3979,2,2,right,,,right,0,,0.0,0,0
163,3167,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,"left,right",,,,0,,0.0,0,0
164,3186,1,-1,-1,-1,-1,-1,501,867,665,813,0.3582,1,2,"left,right",left,,right,0,,0.0,0,0
165,3205,1,-1,-1,-1,-1,-1,528,805,678,796,0.4149,1,2,"left,right",left,,right,0,,0.0,0,0
166,3225,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,left,"left,right",,,0,,0.0,0,0
167,3244,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,left,"left,right",,,0,,0.0,0,0
168,3264,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,left,"left,right",,,0,,0.0,0,0
169,3283,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,,"left,right",,,0,,0.0,0,0
170,3303,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,,"left,right",,,0,,0.0,0,0
171,3322,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,,"left,right",,,0,,0.0,0,0
172,3341,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,,"left,right",,,0,,0.0,0,0
173,3361,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,,"left,right",,,0,,0.0,0,0
174,3380,1,-1,-1,-1,-1,-1,518,679,585,738,0.408,1,0,,left,,right,0,,0.0,0,0
175,3400,1,480,684,328,709,0.4528,483,671,319,744,0.4644,2,0,,,,"left,right",0,,0.0,1,0
176,3419,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,,,,,0,,0.0,0,0
177,3439,1,484,768,599,894,0.4085,492,789,618,896,0.4186,2,1,,,,right,0,,0.0,1,1
178,3458,1,473,715,336,895,0.3686,482,711,513,737,0.3777,2,1,left,,,"left,right",0,,0.0,0,1
179,3477,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,left,,,,0,,0.0,0,0
180,3497,1,458,858,476,1147,0.4004,411,857,307,1128,0.4067,2,1,left,,,"left,right",0,,0.0,0,0
181,3516,1,471,859,455,1152,0.3612,440,863,380,1130,0.3666,2,1,left,,,"left,right",0,,0.0,0,0
182,3536,1,470,867,437,1125,0.3274,472,868,462,1110,0.3359,2,1,left,,,"left,right",0,,0.0,1,1
183,3555,1,470,849,545,1126,0.317,472,862,422,1112,0.3123,2,1,left,,,"left,right",0,,0.0,0,0
184,3575,1,470,835,447,1106,0.2888,461,850,399,1094,0.2827,2,0,,,,"left,right",0,,0.0,0,0
185,3594,1,491,842,548,1108,0.3218,457,858,407,1104,0.3232,2,0,,,,"left,right",0,,0.0,0,0
186,3613,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,,,,,0,,0.0,0,0
187,3633,1,506,760,391,589,0.3842,488,757,491,546,0.3425,2,0,,,,"left,right",0,,0.0,0,1
188,3652,1,506,748,390,590,0.4311,-1,-1,-1,-1,-1,1,0,,right,,left,0,,0.0,0,0
189,3672,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,,"left,right",,,0,,0.0,0,0
190,3691,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,,"left,right",,,0,,0.0,0,0
191,3711,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,,,,,0,,0.0,0,0
192,3730,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,,,,,0,,0.0,0,0
193,3749,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,,,,,0,,0.0,0,0
194,3769,1,509,876,577,1027,0.5192,481,845,314,915,0.4659,2,2,,,,,0,,0.0,0,0
195,3788,1,507,805,537,986,0.558,461,793,299,897,0.51,2,2,,,,,0,,0.0,0,0
196,3808,1,504,768,530,937,0.5853,451,756,292,897,0.5492,2,2,,,,,0,,0.0,0,0
197,3827,1,473,753,448,969,0.5698,448,745,287,879,0.529,2,2,,,,,0,,0.0,0,0
198,3847,1,476,724,286,888,0.5402,439,707,282,876,0.4971,2,2,left,,,left,0,,0.0,1,0
199,3866,1,469,750,402,919,0.5047,437,733,272,856,0.4705,2,2,,,,,0,,0.0,0,0
200,3885,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,"left,right",,,,0,,0.0,0,0
201,3905,1,466,810,257,839,0.5064,438,803,265,837,0.4549,2,2,left,,,left,0,,0.0,1,1
202,3924,1,478,769,448,984,0.4755,439,749,265,837,0.4299,2,2,,,,,0,,0.0,0,0
203,3944,1,477,755,477,1006,0.4601,448,739,265,834,0.3994,2,2,,,,,0,,0.0,0,0
204,3963,1,476,738,433,971,0.4219,447,718,263,832,0.3689,2,2,,,,,0,,0.0,0,0
205,3983,1,482,722,461,992,0.3853,446,697,261,831,0.3369,2,2,,,,,0,,0.0,0,0
206,4002,1,480,731,460,1000,0.3563,436,702,259,831,0.3125,2,2,,,,,0,,0.0,0,0
207,4021,1,475,748,445,1024,0.3929,432,723,260,837,0.3269,2,2,,,,,0,,0.0,0,0
208,4041,1,475,751,443,973,0.3562,432,724,261,837,0.2969,2,2,,,,,0,,0.0,0,0
209,4060,1,469,744,414,975,0.3681,431,722,266,845,0.3045,2,2,,,,,0,,0.0,0,0
210,4080,1,470,738,421,991,0.3364,434,717,267,851,0.2762,2,2,,,,,0,,0.0,0,0
211,4099,1,469,746,403,970,0.3455,433,726,277,863,0.303,2,2,,,,,0,,0.0,0,0
212,4119,1,462,759,398,1015,0.3935,423,729,276,895,0.3392,2,2,,,,,0,,0.0,0,0
213,4138,1,425,754,277,978,0.3839,430,733,359,947,0.3237,2,2,right,,,,1,right,87.7,0,1
214,4157,1,436,734,293,912,0.3893,430,716,324,910,0.3017,2,2,right,,,,1,right,31.1,1,1
215,4177,1,442,731,313,918,0.3881,430,720,331,923,0.2862,2,2,right,,,,1,right,18.7,1,0
216,4196,1,439,729,320,921,0.3632,436,725,328,923,0.2635,2,2,right,,,,1,right,8.2,1,0
217,4216,1,442,733,325,958,0.3375,441,744,371,977,0.2398,2,2,right,,,,1,right,49.8,0,1
218,4235,1,434,737,341,978,0.3313,448,757,420,975,0.2397,2,2,right,,,,1,right,79.1,0,0
219,4254,1,438,761,380,1000,0.3066,443,768,380,975,0.2225,2,2,right,,,,1,right,25.0,1,0
220,4274,1,440,771,487,985,0.3146,443,779,402,996,0.2483,2,2,right,,,,1,right,85.7,0,1
221,4293,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,"left,right","left,right",,,0,,0.0,0,0
222,4313,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,"left,right","left,right",,,0,,0.0,0,0
223,4332,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,"left,right","left,right",,,0,,0.0,0,0
224,4352,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,"left,right","left,right",,,0,,0.0,0,0
225,4371,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,"left,right",,,,0,,0.0,0,0
226,4390,1,494,764,434,1036,0.1994,500,769,450,1013,0.1506,2,2,right,,,,1,right,28.0,1,1
227,4410,1,497,815,512,1036,0.205,483,821,438,1033,0.1712,2,2,right,,,,1,right,74.1,0,1
228,4429,1,498,857,517,1087,0.2057,457,858,440,1087,0.1926,2,2,right,,,,1,right,77.0,0,0
229,4449,1,501,864,559,1108,0.2727,458,859,417,1098,0.2667,2,2,,,,,0,,0.0,0,0
230,4468,1,496,837,522,1093,0.2768,449,838,408,1077,0.2565,2,2,,,,,0,,0.0,0,0
231,4488,1,479,844,504,1086,0.2596,451,844,417,1071,0.241,2,2,right,,,,1,right,88.3,0,0
232,4507,1,470,842,492,1102,0.2462,423,847,398,1066,0.2291,2,2,,,,,0,,0.0,0,0
233,4526,1,451,829,390,1016,0.2277,439,833,310,1004,0.2106,2,2,right,,,,1,right,80.9,0,0
234,4546,1,460,768,413,951,0.2371,445,783,259,921,0.2112,2,2,,,,,0,,0.0,0,0
235,4565,1,438,755,271,930,0.2694,445,772,369,958,0.1999,2,2,,,,,0,,0.0,0,1
236,4585,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,"left,right",,,,0,,0.0,0,0
237,4604,1,483,745,707,854,0.3194,463,757,301,947,0.2024,2,2,left,,,left,0,,0.0,0,1
238,4624,1,-1,-1,-1,-1,-1,474,762,386,929,0.2116,1,2,left,left,,,0,,0.0,0,0
239,4643,1,478,744,643,847,0.3293,459,742,257,855,0.1978,2,2,left,,,left,0,,0.0,0,1
