frame_idx,ts_ms,pattern,hip_dist_px,knee_dist_px,ankle_dist_px,la_x,la_y,ra_x,ra_y,lk_x,lk_y,rk_x,rk_y,lh_x,lh_y,rh_x,rh_y,la_conf,ra_conf,lk_conf,rk_conf,lh_conf,rh_conf
150,2914,all_collapse,23.8,11.9,27.1,493.3,1111.6,468.8,1100.1,472.8,963.1,462.4,957.2,481.9,823.0,467.8,842.1,0.3191,0.2199,0.2091,0.2142,0.9995,0.9996
163,3167,all_collapse,11.9,10.0,5.4,716.0,810.8,710.6,811.3,560.8,804.8,560.5,794.8,419.9,811.6,414.0,801.3,0.5953,0.5091,0.5259,0.4712,0.9997,0.9998
164,3186,all_collapse,7.2,7.2,8.3,716.0,810.8,707.7,811.4,559.1,801.3,556.1,794.8,420.3,788.3,414.9,783.6,0.6124,0.4871,0.5205,0.4329,0.9997,0.9997
165,3205,all_collapse,14.1,15.2,27.5,714.7,806.8,687.6,811.5,556.7,790.5,543.1,797.4,432.9,736.9,423.0,746.9,0.6404,0.4705,0.5181,0.3952,0.9996,0.9997
166,3225,all_collapse,8.3,9.8,17.2,708.0,806.3,690.8,807.4,554.0,791.0,544.4,788.8,442.5,755.9,438.9,748.5,0.6259,0.4415,0.4823,0.3598,0.9996,0.9996
167,3244,all_collapse,15.6,7.9,16.1,707.8,806.3,691.8,807.5,551.3,790.4,545.3,795.5,439.4,767.3,433.6,752.8,0.6567,0.4388,0.5135,0.3339,0.9996,0.9996
168,3264,all_collapse,2.9,6.3,14.7,708.2,806.4,693.5,807.5,549.7,790.3,546.4,795.7,419.8,772.0,419.6,774.9,0.6796,0.442,0.5412,0.322,0.9996,0.9996
169,3283,all_collapse,7.0,8.7,15.4,703.9,809.3,688.6,811.3,550.2,789.8,546.9,797.8,442.2,746.9,437.6,752.2,0.681,0.4366,0.5081,0.2973,0.9995,0.9995
170,3303,all_collapse,10.5,15.0,14.0,704.3,810.8,690.6,813.3,561.2,789.8,547.4,795.8,484.7,703.3,474.3,704.6,0.6606,0.4124,0.4743,0.2728,0.9995,0.9995
171,3322,all_collapse,11.8,17.7,16.1,705.1,821.6,689.1,823.4,563.5,790.4,548.1,799.0,508.6,724.2,496.8,723.1,0.6885,0.4526,0.5007,0.28,0.9995,0.9995
172,3341,all_collapse,13.3,17.6,15.3,702.3,831.3,687.2,829.0,563.3,789.9,548.2,798.9,491.4,706.7,478.7,702.9,0.6561,0.4158,0.4557,0.2535,0.9993,0.9994
174,3380,all_collapse,33.8,44.1,43.5,692.3,855.7,654.3,834.7,568.0,735.2,545.7,773.1,518.2,631.9,507.5,663.9,0.5962,0.3412,0.3832,0.2057,0.9992,0.9993
182,3536,hip+ankle,8.1,59.1,25.6,399.8,1098.0,421.9,1085.1,406.2,968.1,465.4,968.1,444.5,842.9,436.5,841.9,0.5439,0.3918,0.3818,0.3361,0.9994,0.9995
183,3555,all_collapse,10.1,30.2,14.1,389.2,1096.3,394.8,1083.4,410.5,966.5,439.0,956.6,449.1,831.3,442.6,839.1,0.5113,0.3587,0.3548,0.3039,0.9995,0.9995
184,3575,all_collapse,8.6,4.5,12.9,407.1,1088.8,408.3,1075.9,429.9,958.6,427.4,954.9,452.9,829.4,448.8,837.0,0.4868,0.3264,0.3253,0.2744,0.9995,0.9996
185,3594,all_collapse,11.6,24.5,21.7,460.8,1104.1,466.0,1083.1,466.6,955.4,442.5,950.6,460.8,829.6,454.5,839.3,0.4603,0.2958,0.2992,0.2486,0.9995,0.9996
186,3613,all_collapse,13.1,34.3,15.8,442.9,1100.6,432.8,1088.4,467.5,957.4,433.3,956.1,464.8,829.6,454.5,837.8,0.4323,0.2714,0.2753,0.2262,0.9996,0.9996
187,3633,hip+ankle,22.0,56.5,31.2,437.7,1023.9,430.4,1054.2,458.6,901.4,402.4,907.5,460.1,820.1,443.6,834.5,0.3958,0.2469,0.2506,0.2061,0.9996,0.9996
188,3652,all_collapse,10.5,34.8,18.9,427.5,1024.1,427.9,1043.0,449.5,910.6,414.9,907.4,463.0,802.3,456.1,810.2,0.3677,0.2252,0.2342,0.1897,0.9996,0.9996
189,3672,all_collapse,14.2,35.5,26.1,448.8,1069.4,468.8,1052.7,464.8,927.9,429.7,922.6,465.2,806.3,453.4,814.2,0.3701,0.2067,0.2257,0.1726,0.9996,0.9997
193,3749,all_collapse,18.7,30.0,16.1,328.4,923.6,343.4,929.4,408.6,834.1,378.9,829.4,446.5,755.0,428.3,759.1,0.4659,0.2498,0.3852,0.2256,0.9997,0.9997
195,3788,hip+ankle,26.8,47.6,21.2,247.3,913.0,240.8,892.8,355.4,864.8,349.1,817.6,427.0,766.4,406.4,749.3,0.4782,0.2639,0.3732,0.2255,0.9997,0.9998
196,3808,hip+ankle,41.9,50.9,6.8,288.3,885.4,283.7,880.4,393.8,818.8,364.5,777.2,435.3,755.7,402.0,730.2,0.4939,0.2719,0.3733,0.2222,0.9997,0.9998
197,3827,hip+ankle,41.2,52.3,5.7,277.4,877.2,276.9,871.5,391.2,806.9,363.7,762.4,442.2,745.2,411.6,717.5,0.4559,0.2503,0.3401,0.2035,0.9997,0.9998
198,3847,all_collapse,39.4,43.1,7.9,274.5,875.2,276.3,867.4,382.4,800.1,358.5,764.2,443.4,731.2,415.4,703.5,0.417,0.228,0.3107,0.1848,0.9997,0.9998
199,3866,all_collapse,30.8,30.4,3.8,264.1,853.2,266.3,850.1,363.0,788.4,362.1,758.0,443.7,725.1,418.4,707.6,0.3972,0.2134,0.2926,0.1702,0.9997,0.9998
200,3885,all_collapse,35.8,40.1,3.8,263.9,852.6,266.1,849.5,366.5,784.6,357.4,745.6,445.3,727.1,420.0,701.7,0.3775,0.1999,0.2735,0.1593,0.9997,0.9998
